,product_name,product_price,product_ratings,product_ratings_num,product_link
40,"Daikin 1.5 Ton 5 Star Inverter Split AC (Copper, PM 2.5 Filter, 2022 Model, MTKM50U, White)","45,490",4.0 out of 5 stars,395,https://www.amazon.in/Daikin-Inverter-Copper-Filter-MTKM50U/dp/B09R4RYCJ4/ref=sr_1_35?keywords=Air+Conditioners&qid=1682513740&sr=8-35
41,"Blue Star 1 Ton 5 Star Convertible 5 in 1 Cooling Inverter Split AC (Copper, Multi Sensors, Stabalizer Free Operation, Dust Filters, Smart Ready, Blue Fins, Self Diagnosis, 2023Model, IC512YNU,White)","37,690",3.9 out of 5 stars,232,https://www.amazon.in/Blue-Star-Convertible-Stabalizer-IC512YNU/dp/B0BW9LFNRM/ref=sr_1_36?keywords=Air+Conditioners&qid=1682513740&sr=8-36
42,"Godrej 1.5 Ton 5 Star, 5-In-1 Convertible, Inverter Split AC (Copper, Heavy Duty Cooling at 52°C, 2023 Model, AC 1.5T EI 18IINV5R32 WWA, White)","37,490",3.6 out of 5 stars,379,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1OTExODEwNzM1MDc1NTczOjE2ODI1MTM3NDA6c3BfYnRmOjIwMTE1MjczMzE2NTk4OjowOjo&url=%2FGodrej-Convertible-1-5T-18IINV5R32-WWA%2Fdp%2FB0BP7SY16R%2Fref%3Dsr_1_37_sspa%3Fkeywords%3DAir%2BConditioners%26qid%3D1682513740%26sr%3D8-37-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
43,"AmazonBasics 1.5 Ton, 5 Star, Wi-Fi Enabled Smart(Alexa/Google Assistant), Twin Rotary Inverter Split AC (Copper Condenser, Turbo Mode, PM 2.5 Filter, White)","34,490",3.3 out of 5 stars,51,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1OTExODEwNzM1MDc1NTczOjE2ODI1MTM3NDA6c3BfYnRmOjIwMDQ2MTM3MTUxMTk4OjowOjo&url=%2FAmazonBasics-1-5-Ton-Air-Conditioner%2Fdp%2FB08J8SM4GD%2Fref%3Dsr_1_38_sspa%3Fkeywords%3DAir%2BConditioners%26qid%3D1682513740%26sr%3D8-38-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
44,"LG 0.8 Ton 3 Star AI DUAL Inverter Split AC (Copper, Super Convertible 6-in-1 Cooling, HD Filter with Anti Virus protection, 2023 Model, RS-Q10ENXE, White)","28,999",4.1 out of 5 stars,294,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMzEyOTQ2NDAwOTI3MzU2OjE2ODI1MTM4MDI6c3BfYXRmX25leHQ6MjAxMTY2Njc5NjgwOTg6OjA6Og&url=%2FLG-Inverter-Convertible-protection-RS-Q10ENXE%2Fdp%2FB0BQN41YJV%2Fref%3Dsr_1_33_sspa%3Fkeywords%3DAir%2BConditioners%26qid%3D1682513802%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
45,"Godrej 1.4 Ton 3 Star, 5-in-1 Convertible Cooling, Inverter Split AC (Copper, I-Sense Technology, 2023 Model, AC 1.5T EI 18TINV3R32 WWC, White)","31,490",3.7 out of 5 stars,403,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMzEyOTQ2NDAwOTI3MzU2OjE2ODI1MTM4MDI6c3BfYXRmX25leHQ6MjAxNDU4NDkyMzU0OTg6OjA6Og&url=%2FGodrej-Convertible-1-5T-18TINV3R32-WWC%2Fdp%2FB0BVRKZ24R%2Fref%3Dsr_1_34_sspa%3Fkeywords%3DAir%2BConditioners%26qid%3D1682513802%26sr%3D8-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
46,"Daikin 1.5 Ton 5 Star Inverter Split AC (Copper, PM 2.5 Filter, 2022 Model, FTKR50U, White)","50,000",4.1 out of 5 stars,72,https://www.amazon.in/Daikin-Inverter-Copper-Filter-FTKR50U/dp/B09R4RSN2K/ref=sr_1_35?keywords=Air+Conditioners&qid=1682513802&sr=8-35
47,"Daikin 1.5 Ton 3 Star Fixed Speed Split AC (Copper, PM 2.5 Filter, 2022 Model, FTL50U, White)","39,790",4.1 out of 5 stars,555,https://www.amazon.in/Daikin-Fixed-Copper-Filter-FTL50U/dp/B09R4QLDWK/ref=sr_1_36?keywords=Air+Conditioners&qid=1682513802&sr=8-36
48,"Voltas 2 Ton 3 Star, Inverter Split AC(Copper, 4-in-1 Adjustable Mode, Anti-dust Filter, 2023 Model, 243V Vectra Elite, White)","45,380",3.8 out of 5 stars,12,https://www.amazon.in/Voltas-Adjustable-Inverter-Copper-VECTRA/dp/B0BBFTT3YL/ref=sr_1_37?keywords=Air+Conditioners&qid=1682513802&sr=8-37
49,"Samsung 1.5 Ton 5 Star Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Anti-Bacteria, 2023 Model AR18CYNZABE White)","42,599",4.0 out of 5 stars,"1,493",https://www.amazon.in/Samsung-Inverter-Convertible-Anti-Bacteria-AR18CYNZABE/dp/B0BRQD9Y92/ref=sr_1_33?keywords=Air+Conditioners&qid=1682513802&sr=8-33
50,"Godrej 1.5 Ton 5 Star, 5-in-1 Convertible Cooling, Inverter Split AC (Copper, Heavy Duty Cooling At 52°C, Anti-dust Filter, 2023 Model, AC 1.5T EI 18IINV5R32 WWR, White)","37,490",4.1 out of 5 stars,33,https://www.amazon.in/Godrej-Convertible-AC-1-5T-18IINV5R32-WWR/dp/B0BQM22JRX/ref=sr_1_34?keywords=Air+Conditioners&qid=1682513802&sr=8-34
51,"Daikin 1.5 Ton 5 Star Inverter Split AC (Copper,2022,FTKM50U,White)","45,790",4.2 out of 5 stars,464,https://www.amazon.in/Daikin-Inverter-Split-Copper-FTKM50U/dp/B09SW8FP11/ref=sr_1_35?keywords=Air+Conditioners&qid=1682513802&sr=8-35
52,"Panasonic 1.5 Ton 3 Star Wi-Fi Inverter Smart Split AC (Copper Condenser, 7 in 1 Convertible with additional AI Mode, PM 0.1 Air Purification Filter, CS/CU-SU18YKYWT,2023 Model, White)","36,990",4.2 out of 5 stars,"2,006",https://www.amazon.in/Panasonic-Convertible-additional-Purification-CU-SU18YKYWT/dp/B0BRJ5QH8G/ref=sr_1_36?keywords=Air+Conditioners&qid=1682513802&sr=8-36
53,"AmazonBasics 1.5 Ton 5 Star Inverter Split AC (White, Air Purifier, Copper)","32,990",3.6 out of 5 stars,"1,232",https://www.amazon.in/AmazonBasics-Star-Inverter-Conditioner-LEEL/dp/B07L44L1GP/ref=sr_1_37?keywords=Air+Conditioners&qid=1682513802&sr=8-37
54,"Daikin 1.8 Ton 5 Star Inverter Split AC (Copper, PM 2.5 Filter, 2022 Model, MTKM60U, White)","59,990",4.3 out of 5 stars,102,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMzEyOTQ2NDAwOTI3MzU2OjE2ODI1MTM4MDI6c3BfbXRmOjIwMTIxNzcwMzU0Mzk4OjowOjo&url=%2FDaikin-Inverter-Copper-Filter-MTKM60U%2Fdp%2FB09R4RVTMT%2Fref%3Dsr_1_38_sspa%3Fkeywords%3DAir%2BConditioners%26qid%3D1682513802%26sr%3D8-38-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
